Region,Division,District,BEIS School ID,School Name,Province,Municipality,Legislative District,Barangay,Sector,School Subclassification,School Type,Modified COC,K Male,K Female,G1 Male,G1 Female,G2 Male,G2 Female,G3 Male,G3 Female,G4 Male,G4 Female,G5 Male,G5 Female,G6 Male,G6 Female,Elem NG Male,Elem NG Female,G7 Male,G7 Female,G8 Male,G8 Female,G9 Male,G9 Female,G10 Male,G10 Female,JHS NG Male,JHS NG Female,G11 ACAD ABM Male,G11 ACAD ABM Female,G11 ACAD HUMSS Male,G11 ACAD HUMSS Female,G11 ACAD STEM Male,G11 ACAD STEM Female,G11 ACAD GAS Male,G11 ACAD GAS Female,G11 ACAD PBM Male,G11 ACAD PBM Female,G11 TVL Male,G11 TVL Female,G11 SPORTS Male,G11 SPORTS Female,G11 ARTS Male,G11 ARTS Female,G12 ACAD ABM Male,G12 ACAD ABM Female,G12 ACAD HUMSS Male,G12 ACAD HUMSS Female,G12 ACAD STEM Male,G12 ACAD STEM Female,G12 ACAD GAS Male,G12 ACAD GAS Female,G12 ACAD PBM Male,G12 ACAD PBM Female,G12 TVL Male,G12 TVL Female,G12 SPORTS Male,G12 SPORTS Female,G12 ARTS Male,G12 ARTS Female
Region I,Ilocos Norte,Bacarra I,100001,Apaleng-Libtong Elementary School,ILOCOS NORTE,BACARRA,1st District,LIBTONG,Public,DepED Managed,School with no Annexes,Purely ES,16,3,23,37,32,24,33,8,30,50,44,18,33,30,23,41,37,27,42,13,49,16,16,15,33,22,23,4,39,10,11,42,36,39,8,31,15,32,2,50,49,41,9,25,33,46,18,19,38,31,37,32,26,35,42,10,16,39
Region I,Ilocos Norte,Bacarra I,100002,Bacarra CES,ILOCOS NORTE,BACARRA,1st District,SANTA RITA (POB.),Public,DepED Managed,School with no Annexes,Purely ES,50,35,20,28,10,40,4,23,32,44,3,25,14,21,18,46,44,10,10,32,4,31,17,10,46,8,49,41,31,19,25,16,49,12,48,1,26,46,4,3,15,10,23,15,8,14,31,40,14,47,14,39,15,3,24,2,45,5
Region I,Ilocos Norte,Bacarra I,100003,Buyon Elementary School,ILOCOS NORTE,BACARRA,1st District,BUYON,Public,DepED Managed,School with no Annexes,Purely ES,5,29,28,7,16,7,16,50,13,10,33,42,21,6,38,2,27,16,2,49,41,45,41,3,49,24,39,31,45,16,47,9,35,12,28,5,35,34,8,9,50,20,12,1,3,45,26,44,38,35,38,27,22,40,34,8,28,42
Region I,Ilocos Norte,Bacarra I,100004,Ganagan Elementary School,ILOCOS NORTE,BACARRA,1st District,GANAGAN,Public,DepED Managed,School with no Annexes,Purely ES,23,14,46,49,23,1,24,3,17,27,25,31,2,46,9,38,25,35,1,15,15,13,21,48,8,35,40,24,39,40,33,27,28,48,3,19,47,38,34,20,34,46,15,10,10,3,48,18,15,16,47,46,7,26,44,33,5,46
Region I,Ilocos Norte,Bacarra I,100005,Macupit Elementary School,ILOCOS NORTE,BACARRA,1st District,MACUPIT,Public,DepED Managed,School with no Annexes,Purely ES,49,12,50,30,34,28,9,36,11,40,32,12,12,7,5,34,14,10,18,8,18,23,22,48,12,22,19,9,39,26,27,37,18,12,8,44,7,35,44,49,12,23,3,27,29,23,45,9,3,32,28,38,19,10,41,24,39,30
Region I,Ilocos Norte,Bacarra I,100006,Nambaran Elementary School,ILOCOS NORTE,BACARRA,1st District,NAMBARAN,Public,DepED Managed,School with no Annexes,Purely ES,4,5,27,23,45,3,39,47,9,43,2,47,21,42,48,34,13,32,50,31,3,16,27,17,7,46,24,18,9,32,45,22,37,24,49,20,9,50,23,43,13,45,30,32,41,4,15,43,11,2,4,10,21,25,47,4,5,32
Region I,Ilocos Norte,Bacarra I,100007,Pasiocan Elementary School,ILOCOS NORTE,BACARRA,1st District,PASIOCAN,Public,DepED Managed,School with no Annexes,Purely ES,19,28,18,37,38,45,37,41,2,38,27,24,12,42,46,39,24,45,26,22,15,30,16,43,30,19,10,25,2,39,24,32,12,38,20,37,40,10,1,27,37,45,28,43,8,16,20,25,29,36,43,25,9,26,50,6,11,50
Region I,Ilocos Norte,Bacarra I,100008,Pulangi Elementary School,ILOCOS NORTE,BACARRA,1st District,PULANGI,Public,DepED Managed,School with no Annexes,Purely ES,2,6,6,49,48,9,22,30,19,28,21,16,25,43,12,29,49,11,7,34,23,47,3,46,19,5,15,35,38,5,11,4,32,23,26,12,13,6,2,10,9,33,34,19,32,38,46,38,21,3,12,32,2,18,43,10,14,30
Region I,Ilocos Norte,Bacarra I,100009,Sabas-Sagisi Memorial Elem. School,ILOCOS NORTE,BACARRA,1st District,SANGIL,Public,DepED Managed,School with no Annexes,Purely ES,21,31,13,18,34,12,11,33,18,47,42,33,21,24,49,12,42,35,2,27,47,17,6,28,33,31,48,28,32,11,37,45,17,12,20,48,1,18,31,13,32,39,17,4,19,47,18,29,17,36,41,4,18,8,30,48,29,18
Region I,Ilocos Norte,Bacarra I,100010,SPECIAL EDUCATION CENTER,ILOCOS NORTE,BACARRA,1st District,SANTA RITA (POB.),Public,DepED Managed,School with no Annexes,Purely ES,49,14,45,24,6,4,3,30,35,30,8,40,35,50,38,1,10,36,12,24,7,3,3,5,38,44,21,42,14,3,13,47,7,11,3,31,3,19,34,49,25,43,27,28,14,13,40,10,7,44,18,13,47,32,32,42,47,16
