Region,School Name,BEIS School ID,Division,District,K Total,G1 Total,G2 Total,G3 Total,G4 Total,G5 Total,G6 Total,G7 Total,G8 Total,G9 Total,G10 Total,G11 STEM Total,G11 HUMSS Total,G11 ABM Total,G11 GAS Total,G11 TVL Total,G11 SPORTS Total,G11 ARTS Total,G11 PBM Total,G12 STEM Total,G12 HUMSS Total,G12 ABM Total,G12 GAS Total,G12 TVL Total,G12 SPORTS Total,G12 ARTS Total,G12 PBM Total
Region I,Apaleng-Libtong Elementary School,100001,Ilocos Norte,Bacarra I,9,5,12,6,4,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Bacarra CES,100002,Ilocos Norte,Bacarra I,51,58,47,55,53,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Buyon Elementary School,100003,Ilocos Norte,Bacarra I,18,21,15,17,15,26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ganagan Elementary School,100004,Ilocos Norte,Bacarra I,17,9,11,14,12,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Macupit Elementary School,100005,Ilocos Norte,Bacarra I,8,7,5,10,6,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Nambaran Elementary School,100006,Ilocos Norte,Bacarra I,11,17,13,13,8,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Pasiocan Elementary School,100007,Ilocos Norte,Bacarra I,14,13,19,25,11,27,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Pulangi Elementary School,100008,Ilocos Norte,Bacarra I,18,33,27,23,28,43,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Sabas-Sagisi Memorial Elem. School,100009,Ilocos Norte,Bacarra I,11,20,4,28,15,37,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,SPECIAL EDUCATION CENTER,100010,Ilocos Norte,Bacarra I,18,23,21,20,11,31,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Santo Cristo Elementary School,100011,Ilocos Norte,Bacarra I,23,28,27,26,14,35,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Tambidao Elementary School,100012,Ilocos Norte,Bacarra I,13,8,15,14,11,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Bacarra NCHS,300002,Ilocos Norte,Bacarra I,0,0,0,0,0,0,0,352,435,455,540,75,202,98,0,197,0,0,0,79,179,94,0,216,0,0,0
Region I,Cadaratan National High School,300007,Ilocos Norte,Bacarra I,0,0,0,0,0,0,0,99,84,102,120,0,37,0,45,0,0,0,0,0,36,0,47,0,0,0,0
Region I,"St. Andrew Academy of Bacarra, Inc.",400001,Ilocos Norte,Bacarra I,0,0,0,0,0,0,0,9,10,10,8,0,0,0,7,0,0,0,0,0,0,0,12,0,0,0,0
Region I,"The Riverdeep Academy, Inc.",410001,Ilocos Norte,Bacarra I,43,33,32,36,25,38,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,St. Andrew Grade School,410019,Ilocos Norte,Bacarra I,11,8,5,7,11,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Bangsirit Elementary School,100013,Ilocos Norte,Bacarra II,19,19,10,22,18,31,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
